category	path	sha256	observation_shape	action_space	policy_module	policy_qualname	metadata_version	lineage_or_role_evidence	pre_phase2_reference	uniquely_selected_by_existing_evidence
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_110k.zip	c3cfc140e64a106a6210dd307a24bf1e4de5affe4c25389eb165ba4d648fed51	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=110	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_110k_rehearsed.zip	e77edbf84bbb3ef1cc70b617c74a62711144f7d16b9b6ac9d8e2efafeeda279a	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_120k.zip	79bb4c010d988d1117bd52b9c5494bfa8063043f43f17b364f362e0e3fc73278	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=120	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_120k_rehearsed.zip	c1f917f22f95d57f15824a07cf3b13631c43d3117359d4b291e5280663e7f0bc	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_130k.zip	6547f849d5af49770b21f934dd9bca9b8a9608ca0245107a2d34085221c71fb0	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=130	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_130k_rehearsed.zip	3d415bffe47a08b275d066d37280b353dbaa3f52e324bde47036b2610274ad62	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_140k.zip	4fbcd425b2faf7fb718fa922664f30fa31202cd68b8fed5a726d25e5a0174b28	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=140	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_140k_rehearsed.zip	d17d3898048e2d2e081f3b6fd4f9f53f836321eff5d7ae3d647562acc757281b	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_150k.zip	c59e292a77156369a7bb51dc618382112be43a3b0075ed457f11705d6284fffc	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=150	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_150k_rehearsed.zip	6611b10df332fdbc3f9412699dd941a313d57c02766a138225e090e9a32c2563	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_160k.zip	08653e96a7e61170f91848109eef3f7ef6abcd1e521c895fc1593b5245668fcf	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=160	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_160k_rehearsed.zip	10898d1a7b010d3975893bc06439e334c4a52ff47336d11e839ca70d05a1afbf	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_170k.zip	87753b76a94fa8790fe3d9f2d1510ca9cd8167954d78fb3833eed7bf86170b18	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=170	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_170k_rehearsed.zip	31f75b37df0ce6bf68f599ad1f36eea10da63897503a563b914337f7453d0643	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_180k.zip	09233038ee9a2b744ad4d3958b0380e0151f38d46ee8e954aa354ff7dd3cd372	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=180	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_180k_rehearsed.zip	ca99cdf54bb153f6cc61544424966de2ae1a2691fdd4f6decbd64c71aff55415	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_190k.zip	3cb16f2210122fc9dd348c46adb82260684caacc507c5bc62db7930c7c00c01e	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=190	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_190k_rehearsed.zip	06294cb26fcbf26ebf93a46126abb463c689447b21650b7297384bff68f2fa2c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
